Id,SalePrice
1461,130879.8435283606
1462,173768.695865351
1463,141999.8504108988
1464,171314.85426233412
1465,249945.61625675607
1466,162147.36299566602
1467,183538.83529958953
1468,162431.60523110727
1469,222943.31030784166
1470,110891.40417451038
1471,224139.7713503111
1472,128637.9088103258
1473,102406.0703374415
1474,166936.45680053404
1475,177706.50533454499
1476,317766.345503445
1477,286853.47607720486
1478,321422.75848224334
1479,297002.5811960465
1480,380337.27997244016
1481,291560.0236581856
1482,254130.1239863445
1483,191122.9353407852
1484,211656.36785765912
1485,185676.80815969873
1486,196052.8728428475
1487,294059.96732191835
1488,289781.2863661642
1489,220893.3917880636
1490,200848.2984054041
1491,196380.17979828312
1492,127915.34218934957
1493,197290.33093594667
1494,268953.00285131653
1495,275793.41601075226
1496,231081.0315495253
1497,199214.56153258472
1498,184264.3944022341
1499,184264.3944022341
1500,154572.29326660605
1501,161782.97542355646
1502,180984.50074687786
1503,282583.45476066356
1504,236025.1327896169
1505,233336.65213908418
1506,219799.52820652747
1507,194064.74136823806
1508,194092.47021978765
1509,168317.01241143505
1510,158006.67314681053
1511,157127.88400311515
1512,173092.28503223762
1513,175131.2989410608
1514,142818.88748022492
1515,182897.36812575327
1516,173349.10129098973
1517,162805.32713628164
1518,179327.6734394067
1519,233257.96082836206
1520,134303.30086866376
1521,137673.7845340842
1522,200697.1926268381
1523,87398.28089799303
1524,128049.72183954212
1525,125333.58639837647
1526,125233.76823402771
1527,114844.20896180096
1528,146336.32823498928
1529,154903.02392783796
1530,195046.35522041155
1531,98487.17700352559
1532,101591.03646440452
1533,165380.72202852555
1534,145998.98211252815
1535,126717.95446574368
1536,129526.08713860453
1537,52881.503483830296
1538,211836.8334277557
1539,236622.12046891492
1540,108174.74795304824
1541,170259.3193684326
1542,129174.80700210082
1543,194115.82615428235
1544,82477.39189538304
1545,134598.85664224447
1546,166397.11935408702
1547,121548.75173449081
1548,145190.2991384755
1549,125212.2822363184
1550,141954.35265268144
1551,160299.50612559397
1552,112272.93369728405
1553,123162.50027873457
1554,136044.9137377109
1555,160297.04481115693
1556,109205.93586848784
1557,115958.3178790086
1558,133977.67379071252
1559,69428.05232770627
1560,140740.8517021284
1561,118540.54455879552
1562,123362.66545300736
1563,119142.88473668374
1564,167004.56942255166
